----BEGIN SIMULATION RESULTS----
Scenario: bustabit-tiny-hot-wallet_peak-and-tail
| Scenario File | Current Balance | Mean #UTXO | Current #UTXO | #Deposits | #Inputs Spent | #Withdraws | #Uneconomical outputs spent | #Change Created | #Changeless | Min Change Value | Max Change Value | Mean Change Value | Std. Dev. of Change Value | Total Fees | Mean Fees per Withdraw | Cost to Empty (10 sat/vB) | Total Cost | Min Input Size | Max Input Size | Mean Input Size | Std. Dev. of Input Size | Usage |
| bustabit-tiny-hot-wallet_peak-and-tail | 24.52757113 | 230.874080000 | 239 | 8541 | 10681 | 3959 | 0 | 2379 | bnb: **1548** ; knapsack: **32** ; Total: **1580** | 0.00000382 | 9.97599147 | 0.338022285229 | 1.01501824931 | 0.08535470 | 0.0000215596615307 | 0.00162520000 | 0.08697990000 | 1 | 49 | 2.69790351099 | 2.94005688068 | knapsack: **356** ; srd: **2055** ; bnb: **1548** |
| bustabit-tiny-hot-wallet_peak-and-tail | 20.82633254 | 231.572692308 | 230 | 8875 | 11115 | 4125 | 0 | 2470 | bnb: **1622** ; knapsack: **33** ; Total: **1655** | 0.00000382 | 9.97599147 | 0.333943057534 | 0.998325837874 | 0.08775245 | 0.0000212733212121 | 0.00156400000 | 0.08931645000 | 1 | 49 | 2.69454545455 | 2.90043005243 | knapsack: **366** ; srd: **2137** ; bnb: **1622** |
| bustabit-tiny-hot-wallet_peak-and-tail | 14.89811422 | 231.054148148 | 221 | 9156 | 11562 | 4344 | 0 | 2627 | bnb: **1682** ; knapsack: **35** ; Total: **1717** | 0.00000382 | 9.97599147 | 0.323785613723 | 0.972251971108 | 0.09122591 | 0.0000210004396869 | 0.00150280000 | 0.09272871000 | 1 | 49 | 2.66160220994 | 2.85341291941 | knapsack: **396** ; srd: **2266** ; bnb: **1682** |
| bustabit-tiny-hot-wallet_peak-and-tail | 21.57984555 | 232.046714286 | 267 | 9452 | 11954 | 4548 | 0 | 2769 | bnb: **1743** ; knapsack: **36** ; Total: **1779** | 0.00000382 | 9.97599147 | 0.313296182402 | 0.949523653720 | 0.09536002 | 0.0000209674626209 | 0.00181560000 | 0.09717562000 | 1 | 49 | 2.62840809147 | 2.80735507301 | knapsack: **428** ; srd: **2377** ; bnb: **1743** |
| bustabit-tiny-hot-wallet_peak-and-tail | 17.77004983 | 233.730068966 | 264 | 9756 | 12389 | 4744 | 0 | 2897 | bnb: **1810** ; knapsack: **37** ; Total: **1847** | 0.00000382 | 9.97599147 | 0.303525915309 | 0.930455407884 | 0.09843947 | 0.0000207503098651 | 0.00179520000 | 0.10023467000 | 1 | 49 | 2.61150927487 | 2.76879891595 | knapsack: **450** ; srd: **2484** ; bnb: **1810** |
| bustabit-tiny-hot-wallet_peak-and-tail | 18.09153509 | 234.575666667 | 263 | 10038 | 12832 | 4962 | 0 | 3057 | bnb: **1868** ; knapsack: **37** ; Total: **1905** | 0.00000372 | 9.97599147 | 0.293648395057 | 0.909758100878 | 0.10317652 | 0.0000207933333333 | 0.00178840000 | 0.10496492000 | 1 | 49 | 2.58605401048 | 2.72726367099 | knapsack: **478** ; srd: **2616** ; bnb: **1868** |
| bustabit-tiny-hot-wallet_peak-and-tail | 15.03113256 | 234.716199191 | 244 | 10076 | 12918 | 5005 | 0 | 3086 | bnb: **1882** ; knapsack: **37** ; Total: **1919** | 0.00000372 | 9.97599147 | 0.292162972638 | 0.905810546808 | 0.10388431 | 0.0000207561058941 | 0.00165920000 | 0.10554351000 | 1 | 49 | 2.58101898102 | 2.72047028908 | knapsack: **480** ; srd: **2643** ; bnb: **1882** |
----END SIMULATION RESULTS----


