id,utxo_amounts
68,"['0.00899639', '0.00003240', '1.99393391', '0.00018466', '2.99491680', '0.09364072', '4.98111520', '0.04772685', '0.02298780', '3.99971824', '0.99663780', '0.00031498']"
69,"['0.00003240', '1.99393391', '0.00018466', '2.99491680', '0.00564319', '0.09364072', '4.98111520', '0.04772685', '0.02298780', '3.99971824', '0.99663780', '0.00031498']"
70,"['0.00231678', '0.00003240', '1.99393391', '0.00018466', '2.99491680', '0.09364072', '4.98111520', '0.04772685', '0.02298780', '3.99971824', '0.99663780', '0.00031498']"
71,"['0.01995960', '0.00231678', '0.00003240', '1.99393391', '0.00018466', '2.99491680', '0.09364072', '4.98111520', '0.04772685', '3.99971824', '0.99663780', '0.00031498']"
72,"['0.00100000', '0.01674619', '0.00231678', '0.00003240', '1.99393391', '0.00018466', '2.99491680', '0.09364072', '4.98111520', '0.04772685', '3.99971824', '0.99663780', '0.00031498']"
73,"['0.00031537', '0.00100000', '0.01674619', '0.00003240', '1.99393391', '0.00018466', '2.99491680', '0.09364072', '4.98111520', '0.04772685', '3.99971824', '0.99663780', '0.00031498']"
74,"['0.00031537', '0.00100000', '0.00003240', '1.99393391', '0.00018466', '2.99491680', '0.09364072', '4.98111520', '0.01351799', '0.04772685', '3.99971824', '0.99663780', '0.00031498']"
75,"['0.01019158', '0.00031537', '0.00100000', '0.00003240', '1.99393391', '0.00018466', '2.99491680', '0.09364072', '4.98111520', '0.04772685', '3.99971824', '0.99663780', '0.00031498']"
76,"['0.00686338', '0.00031537', '0.00100000', '0.00003240', '1.99393391', '0.00018466', '2.99491680', '0.09364072', '4.98111520', '0.04772685', '3.99971824', '0.99663780', '0.00031498']"
77,"['0.99387239', '3.99971824', '0.04772685', '4.98111520', '0.09364072', '0.00018466', '1.99393391', '0.00003240', '0.00100000', '2.99491680', '0.00686338']"
78,"['0.99387239', '3.99971824', '0.04772685', '4.98111520', '0.09364072', '0.00350818', '0.00018466', '1.99393391', '0.00003240', '0.00100000', '2.99491680']"
79,"['0.04538377', '0.99387239', '3.99971824', '4.98111520', '0.09364072', '0.00350818', '0.00018466', '1.99393391', '0.00003240', '2.99491680']"
80,"['0.00910000', '0.00015298', '0.04538377', '0.99387239', '3.99971824', '4.98111520', '0.09364072', '0.00018466', '1.99393391', '0.00003240', '2.99491680']"
81,"['0.00910000', '0.00015298', '0.99387239', '3.99971824', '0.04202657', '4.98111520', '0.09364072', '0.00018466', '1.99393391', '0.00003240', '2.99491680']"
82,"['0.01714000', '0.03269716', '0.00910000', '0.00015298', '0.99387239', '3.99971824', '4.98111520', '0.09364072', '0.00018466', '1.99393391', '0.00003240', '2.99491680']"
83,"['0.02936575', '0.01714000', '0.00910000', '0.00015298', '0.99387239', '3.99971824', '4.98111520', '0.09364072', '0.00018466', '1.99393391', '0.00003240', '2.99491680']"
84,"['0.01714000', '0.00910000', '0.00015298', '0.99387239', '3.99971824', '0.02601255', '4.98111520', '0.09364072', '0.00018466', '1.99393391', '0.00003240', '2.99491680']"
85,"['0.01714000', '0.00015298', '0.99387239', '0.00577359', '3.99971824', '0.02601255', '4.98111520', '0.09364072', '0.00018466', '1.99393391', '0.00003240', '2.99491680']"
86,"['0.00274539', '0.01714000', '0.00015298', '0.99387239', '3.99971824', '0.02601255', '4.98111520', '0.09364072', '0.00018466', '1.99393391', '0.00003240', '2.99491680']"
87,"['0.00553414', '0.00274539', '0.01714000', '0.00015298', '0.99387239', '3.99971824', '4.98111520', '0.09364072', '0.00018466', '1.99393391', '0.00003240', '2.99491680']"
88,"['0.03000000', '0.00553414', '0.00274539', '0.00015298', '0.99387239', '3.99971824', '0.01538980', '4.98111520', '0.09364072', '0.00018466', '1.99393391', '0.00003240', '2.99491680']"
89,"['0.00006719', '0.03000000', '0.00553414', '0.00015298', '0.99387239', '3.99971824', '0.01538980', '4.98111520', '0.09364072', '0.00018466', '1.99393391', '0.00003240', '2.99491680']"
90,"['0.00006719', '0.03000000', '0.00015298', '0.99387239', '3.99971824', '0.01538980', '0.00220273', '4.98111520', '0.09364072', '0.00018466', '1.99393391', '0.00003240', '2.99491680']"
91,"['0.00116387', '0.01203660', '0.00006719', '0.03000000', '0.00015298', '0.99387239', '3.99971824', '0.00220273', '4.98111520', '0.09364072', '0.00018466', '1.99393391', '0.00003240', '2.99491680']"
92,"['0.07861252', '0.00116387', '0.01203660', '0.00006719', '0.03000000', '0.00015298', '0.99387239', '3.99971824', '0.00220273', '4.98111520', '0.00018466', '1.99393391', '0.00003240', '2.99491680']"
93,"['0.07861252', '0.00116387', '0.01203660', '0.00006719', '0.03000000', '0.99387239', '3.99971824', '0.00220273', '4.98111520', '2.99406770', '0.00018466', '1.99393391', '0.00003240']"
94,"['0.01780000', '0.07861252', '0.00116387', '0.00006719', '0.03000000', '0.99387239', '3.99971824', '0.00200840', '0.00220273', '0.00300000', '4.98111520', '2.99406770', '0.00480000', '0.00018466', '1.99393391', '0.00003240']"
95,"['4.97908700', '0.01780000', '0.07861252', '0.00116387', '0.00006719', '0.03000000', '0.99387239', '3.99971824', '0.00200840', '0.00220273', '0.00300000', '2.99406770', '0.00480000', '0.00018466', '1.99393391', '0.00003240']"
96,"['0.01490000', '0.00006080', '0.00000699', '4.97908700', '0.01780000', '0.07861252', '0.00116387', '0.00006719', '0.03000000', '0.99387239', '0.00100000', '3.99971824', '0.00220273', '0.00300000', '2.99406770', '0.00480000', '0.00018466', '1.99393391', '0.00003240']"
97,"['0.01490000', '0.00006080', '0.00000699', '4.97908700', '0.01780000', '0.07861252', '0.00116387', '0.00006719', '0.03000000', '0.99387239', '0.00100000', '3.99971824', '0.00300000', '2.99406770', '0.00480000', '0.00018466', '0.00020132', '1.99393391', '0.00003240']"
98,"['0.00100000', '0.00444318', '0.00100000', '0.01490000', '0.00006080', '0.00000699', '4.97908700', '0.01780000', '0.07861252', '0.00006719', '0.03000000', '0.99387239', '0.00100000', '0.00013567', '3.99971824', '0.00300000', '2.99406770', '0.00480000', '0.00018466', '0.00020132', '1.99393391', '0.00003240']"
99,"['0.00100000', '0.00444318', '0.00100000', '0.00006080', '0.00000699', '4.97908700', '0.01780000', '0.07861252', '0.00006719', '0.03000000', '0.99387239', '0.00100000', '3.99971824', '0.00300000', '2.99406770', '0.00480000', '0.00018466', '0.00020132', '1.99393391', '0.00003240']"
100,"['0.99207163', '0.00100000', '0.00444318', '0.00100000', '0.00006080', '0.00000699', '4.97908700', '0.01780000', '0.07861252', '0.00006719', '0.03000000', '0.00100000', '3.99971824', '0.00300000', '2.99406770', '0.00480000', '0.00018466', '1.99393391', '0.00003240']"
101,"['0.00097180', '0.99207163', '0.00100000', '0.00444318', '0.00100000', '0.00006080', '0.00000699', '4.97908700', '0.01780000', '0.07861252', '0.00006719', '0.03000000', '0.00100000', '3.99971824', '2.99406770', '0.00480000', '0.00018466', '1.99393391', '0.00003240']"
