----BEGIN SIMULATION RESULTS----
Scenario: bustabit-tiny-hot-wallet_peak-and-tail
| Scenario File | Current Balance | Mean #UTXO | Current #UTXO | #Deposits | #Inputs Spent | #Withdraws | #Uneconomical outputs spent | #Change Created | #Changeless | Min Change Value | Max Change Value | Mean Change Value | Std. Dev. of Change Value | Total Fees | Mean Fees per Withdraw | Cost to Empty (10 sat/vB) | Total Cost | Min Input Size | Max Input Size | Mean Input Size | Std. Dev. of Input Size | Usage |
| bustabit-tiny-hot-wallet_peak-and-tail | 24.52204351 | 254.286400000 | 272 | 8541 | 10660 | 3959 | 0 | 2391 | bnb: **1526** ; knapsack: **42** ; Total: **1568** | 0.00000340 | 9.18560375 | 0.334028514697 | 1.01291495351 | 0.09088232 | 0.0000229558777469 | 0.00184960000 | 0.09273192000 | 1 | 97 | 2.69259914120 | 3.48623559071 | knapsack: **368** ; srd: **2065** ; bnb: **1526** |
| bustabit-tiny-hot-wallet_peak-and-tail | 20.82053131 | 255.495000000 | 263 | 8875 | 11091 | 4125 | 0 | 2479 | bnb: **1600** ; knapsack: **46** ; Total: **1646** | 0.00000340 | 9.18560375 | 0.332125498124 | 0.997788409578 | 0.09355368 | 0.00002267968 | 0.00178840000 | 0.09534208000 | 1 | 97 | 2.68872727273 | 3.43133863455 | knapsack: **378** ; srd: **2147** ; bnb: **1600** |
| bustabit-tiny-hot-wallet_peak-and-tail | 14.89217567 | 255.750962963 | 279 | 9156 | 11522 | 4344 | 0 | 2645 | bnb: **1648** ; knapsack: **51** ; Total: **1699** | 0.00000340 | 9.18560375 | 0.319988551198 | 0.969546436032 | 0.09716446 | 0.0000223675092081 | 0.00189720000 | 0.09906166000 | 1 | 97 | 2.65239410681 | 3.36179435977 | knapsack: **427** ; srd: **2269** ; bnb: **1648** |
| bustabit-tiny-hot-wallet_peak-and-tail | 21.57350927 | 257.947214286 | 330 | 9452 | 11909 | 4548 | 0 | 2787 | bnb: **1706** ; knapsack: **55** ; Total: **1761** | 0.00000340 | 9.18560375 | 0.309156008938 | 0.947003496751 | 0.10169630 | 0.0000223606640281 | 0.00224400000 | 0.10394030000 | 1 | 97 | 2.61851363237 | 3.29800978140 | knapsack: **458** ; srd: **2384** ; bnb: **1706** |
| bustabit-tiny-hot-wallet_peak-and-tail | 17.76375955 | 261.336965517 | 366 | 9756 | 12305 | 4744 | 0 | 2915 | bnb: **1770** ; knapsack: **59** ; Total: **1829** | 0.00000340 | 9.18560375 | 0.300291142014 | 0.928987221725 | 0.10472975 | 0.0000220762542159 | 0.00248880000 | 0.10721855000 | 1 | 97 | 2.59380269815 | 3.24273650453 | knapsack: **484** ; srd: **2490** ; bnb: **1770** |
| bustabit-tiny-hot-wallet_peak-and-tail | 18.08501287 | 264.370666667 | 347 | 10038 | 12749 | 4962 | 0 | 3058 | bnb: **1843** ; knapsack: **61** ; Total: **1904** | 0.00000340 | 9.18560375 | 0.291674794980 | 0.911189618662 | 0.10969874 | 0.0000221077670294 | 0.00235960000 | 0.11205834000 | 1 | 97 | 2.56932688432 | 3.18358049237 | knapsack: **521** ; srd: **2598** ; bnb: **1843** |
| bustabit-tiny-hot-wallet_peak-and-tail | 15.02462012 | 264.829785823 | 340 | 10076 | 12826 | 5005 | 0 | 3090 | bnb: **1853** ; knapsack: **62** ; Total: **1915** | 0.00000340 | 9.18560375 | 0.289555129214 | 0.907011154613 | 0.11039675 | 0.0000220572927073 | 0.00231200000 | 0.11270875000 | 1 | 97 | 2.56263736264 | 3.17254953955 | knapsack: **523** ; srd: **2629** ; bnb: **1853** |
----END SIMULATION RESULTS----


