Scenario File,Current Balance,Mean #UTXO,Current #UTXO,#Deposits,#Inputs Spent,#Withdraws,#Uneconomical outputs spent,#Change Created,#Changeless,Min Change Value,Max Change Value,Mean Change Value,Std. Dev. of Change Value,Total Fees,Mean Fees per Withdraw,Cost to Empty (10 sat/vB),Total Cost,Min Input Size,Max Input Size,Mean Input Size,Std. Dev. of Input Size,Usage
bustabit-tiny-hot-wallet_peak-and-tail,0E-8,0,0,0,0,0,0,0,Total: **0**,0,0,0,0,0,0,0E-66,0E-66,0,0,0,0,
bustabit-tiny-hot-wallet_peak-and-tail,22.01558261,37.3441818182,42,3938,5243,1562,5,1347,bnb: **215** ; Total: **215**,0.00050064,9.99976287,0.266423447120,1.07171156401,0.03738510,0.0000239341229193,0.000285600000,0.037670700000,1,51,3.35659411012,4.04889851288,knapsack: **1057** ; srd: **290** ; bnb: **215**
bustabit-tiny-hot-wallet_peak-and-tail,20.44290411,36.6181666667,25,4278,5746,1722,5,1493,bnb: **229** ; Total: **229**,0.00050064,9.99976287,0.254736266062,1.02328797602,0.04075953,0.0000236698780488,0.000170000000,0.040929530000,1,51,3.33681765389,3.95402440351,knapsack: **1174** ; srd: **319** ; bnb: **229**
bustabit-tiny-hot-wallet_peak-and-tail,20.92125064,36.5747692308,31,4650,6223,1850,7,1604,bnb: **246** ; Total: **246**,0.00050064,9.99976287,0.249097912375,1.00029121318,0.04375394,0.0000236507783784,0.000210800000,0.043964740000,1,51,3.36378378378,3.97668798502,knapsack: **1263** ; srd: **341** ; bnb: **246**
bustabit-tiny-hot-wallet_peak-and-tail,27.28216083,36.0924285714,58,4990,6689,2010,7,1757,bnb: **253** ; Total: **253**,0.00050064,9.99976287,0.255264399943,1.00205277345,0.04751686,0.0000236402288557,0.000394400000,0.047911260000,1,51,3.32786069652,3.90561489089,knapsack: **1385** ; srd: **372** ; bnb: **253**
bustabit-tiny-hot-wallet_peak-and-tail,16.99699907,35.6008000000,21,5335,7210,2165,7,1896,bnb: **269** ; Total: **269**,0.00050064,9.99976287,0.247115150949,0.975393525296,0.05043371,0.0000232950161663,0.000142800000,0.050576510000,1,51,3.33025404157,3.86383705213,knapsack: **1500** ; srd: **396** ; bnb: **269**
bustabit-tiny-hot-wallet_peak-and-tail,12.91722623,34.6768750000,24,5654,7698,2346,7,2068,bnb: **278** ; Total: **278**,0.00050064,9.99976287,0.253771793221,0.966933037743,0.05394153,0.0000229929795396,0.000163200000,0.054104730000,1,51,3.28132992327,3.79317770765,knapsack: **1631** ; srd: **437** ; bnb: **278**
bustabit-tiny-hot-wallet_peak-and-tail,26.62363839,34.2548235294,35,5963,8175,2537,7,2247,bnb: **290** ; Total: **290**,0.00050064,9.99976287,0.258910528549,0.968225800863,0.05837272,0.0000230085612929,0.000238000000,0.058610720000,1,51,3.22230981474,3.71408231447,knapsack: **1770** ; srd: **477** ; bnb: **290**
bustabit-tiny-hot-wallet_peak-and-tail,15.61014178,34.2111111111,24,6278,8673,2722,7,2419,bnb: **303** ; Total: **303**,0.00050064,9.99976287,0.250668723468,0.938254479864,0.06201412,0.0000227825569434,0.000163200000,0.062177320000,1,51,3.18626010287,3.65251853260,knapsack: **1911** ; srd: **508** ; bnb: **303**
bustabit-tiny-hot-wallet_peak-and-tail,19.57915619,33.8978947368,30,6573,9155,2927,7,2612,bnb: **315** ; Total: **315**,0.00050064,9.99976287,0.242217126076,0.908122883486,0.06576946,0.0000224699214213,0.000204000000,0.065973460000,1,51,3.12777587974,3.57892230048,knapsack: **2072** ; srd: **540** ; bnb: **315**
bustabit-tiny-hot-wallet_peak-and-tail,13.43008467,33.8402000000,22,6892,9646,3108,7,2776,bnb: **332** ; Total: **332**,0.00050064,9.99976287,0.238874281333,0.890080472149,0.06979755,0.0000224573841699,0.000149600000,0.069947150000,1,51,3.10360360360,3.53649598826,knapsack: **2198** ; srd: **578** ; bnb: **332**
