id,input_amounts
100,"['0.00098946', '0.00006080', '0.00100000']"
101,['0.00480000']
102,"['0.00080000', '0.00100000', '0.00021816']"
103,"['0.00300000', '0.00000994']"
104,"['0.00003587', '0.00100000']"
105,"['0.00107722', '0.00100000', '0.00100000']"
106,['0.00200000']
107,"['0.00171142', '0.00046318', '0.00000480']"
108,"['0.00100000', '0.00002484']"
109,"['0.00007659', '0.00480000', '0.00005963']"
110,['0.00120000']
111,['0.00100000']
112,"['0.00001938', '0.00087643', '0.00006461', '0.00270000', '0.00049501']"
113,"['0.00120000', '0.00200000']"
114,"['0.00010000', '0.00040000', '0.00100000', '0.00370000', '0.00008835', '0.00009442', '0.00000496']"
115,['0.00200000']
116,['0.00390000']
117,['0.00018443']
118,"['0.00228044', '0.00341677']"
119,"['0.00004067', '0.00006000', '0.00090000', '0.00091371', '0.00012205', '0.00098570']"
120,"['0.00454585', '0.00008000', '0.00464370']"
121,"['0.97808734', '0.00500000', '0.00010000']"
122,"['0.00090000', '0.00163049', '0.00100000']"
123,['0.02598089']
124,['0.97817784']
125,"['0.00110000', '0.00592000', '0.00300000']"
126,"['0.00014077', '0.00490000', '0.01000000']"
127,['0.00290000']
128,['0.00169500']
129,"['0.00300000', '0.00025639']"
130,"['0.00034550', '0.00500000', '0.00089529']"
131,['0.00790000']
132,"['0.00012322', '0.00179242', '0.00444318']"
133,['0.01109159']
134,['0.00360000']
135,"['0.00008743', '0.00213902', '0.00226500', '0.00002686', '0.00049540', '0.00500000']"
136,"['0.01000000', '0.00000814']"
137,"['0.00500000', '0.00100000']"
138,['0.00300000']
139,"['0.00129455', '0.00084425']"
140,"['0.00800000', '0.00500000', '0.00001083']"
141,"['0.00052846', '0.00069882', '0.00100000']"
142,"['0.00002440', '0.00200000']"
143,['0.00070000']
144,['0.00480000']
145,"['0.00900000', '0.00024546', '0.00001599']"
146,"['0.00300000', '0.00021341']"
147,['0.00180000']
148,"['0.00280000', '0.00268817', '0.00017114', '0.00013049']"
149,"['0.00399230', '0.00600000']"
150,"['0.00290000', '0.00800000']"
151,"['0.00980000', '0.00263338', '0.00880000', '0.01680000', '0.00018411', '0.00500000', '0.00002362', '0.00000465', '0.00117514', '0.00600000', '0.00860000']"
152,['0.01780000']
153,"['0.01450000', '0.00880000', '0.00040000', '0.00090000', '0.01577720', '0.00969612']"
154,['0.01000000']
155,['0.00900000']
156,"['0.01490000', '0.00579344', '0.01000000', '0.01000000', '0.00500000', '0.01500000', '0.00090000', '0.06000000']"
157,['0.01746857']
158,['0.00963986']
159,"['0.01990000', '0.02000000', '0.00879062', '0.01389647', '0.04000000']"
160,"['0.00257364', '0.02959206', '2.97452875']"
161,"['0.05000000', '0.05900000']"
162,['0.00700000']
163,"['0.00057209', '0.00003800', '0.00038000', '0.00021000', '0.00199320', '0.00084400']"
164,['0.00899255']
165,['0.01000000']
166,['0.00398497']
167,['0.00328704']
168,"['0.00001641', '0.01000000']"
169,"['0.00001076', '0.00100000']"
170,"['0.00499505', '0.00800000']"
171,['0.00295828']
172,['0.00158279']
173,['0.02471042']
174,"['0.00500000', '0.00002022']"
175,['0.02020658']
176,"['0.00017000', '0.00999921', '0.00010000']"
177,"['0.00000642', '0.00030774', '0.00040000', '0.00980000']"
178,['0.03000000']
179,['0.00090000']
180,['0.00053586']
181,['0.09980000']
182,['0.03500000']
183,['0.08946782']
184,['0.05000000']
185,['0.00028184']
186,['0.00250000']
187,['0.01932106']
188,['0.97016301']
189,['0.05000000']
190,['0.00500000']
191,['0.01000000']
