LTFRE-5,Current Balance,Mean #UTXO,Current #UTXO,#Deposits,#Inputs Spent,#Withdraws,#Uneconomical outputs spent,#Change Created,#Changeless,Min Change Value,Max Change Value,Mean Change Value,Std. Dev. of Change Value,Total Fees,Mean Fees per Withdraw,Cost to Empty (10 sat/vB),Total Cost,Min Input Size,Max Input Size,Mean Input Size,Std. Dev. of Input Size,Usage
bustabit-tiny-hot-wallet_peak-and-tail,15.03274400,41.60,24,10076,14323,5005,5,4271,knapsack: **30** ; bnb: **704** ; Total: **734**,0.00000317,9.99718362,0.30181198,0.91436979,0.10227287,0.00002043,0.00016320,0.10243607,1,39,2.86,3.43,knapsack: **2944** ; srd: **1357** ; bnb: **704**
bustabit-tiny-hot-wallet_peak-and-tail,15.03259138,43.22,29,10076,14280,5005,5,4233,bnb: **737** ; knapsack: **35** ; Total: **772**,0.00000305,9.05921332,0.28741928,0.85531263,0.10242549,0.00002046,0.00019720,0.10262269,1,43,2.85,3.44,knapsack: **2917** ; srd: **1351** ; bnb: **737**
bustabit-tiny-hot-wallet_peak-and-tail,15.03247281,42.93,30,10076,14296,5005,6,4250,bnb: **724** ; knapsack: **31** ; Total: **755**,0.00000317,9.98895496,0.31806238,0.96395672,0.10254406,0.00002049,0.00020400,0.10274806,1,44,2.86,3.48,knapsack: **2845** ; srd: **1436** ; bnb: **724**
bustabit-tiny-hot-wallet_peak-and-tail,15.03231217,42.19,26,10076,14327,5005,5,4277,bnb: **703** ; knapsack: **25** ; Total: **728**,0.00000317,9.93998776,0.30454967,0.93985477,0.10270470,0.00002052,0.00017680,0.10288150,1,53,2.86,3.53,knapsack: **2911** ; srd: **1391** ; bnb: **703**
bustabit-tiny-hot-wallet_peak-and-tail,15.03266296,40.50,25,10076,14307,5005,5,4256,bnb: **708** ; knapsack: **41** ; Total: **749**,0.00000309,9.98993440,0.31544876,0.95665477,0.10235391,0.00002045,0.00017000,0.10252391,1,49,2.86,3.50,knapsack: **2927** ; srd: **1370** ; bnb: **708**
,,,,,,,,,,,,,,,,,,,,,,
LTFRE-6,Current Balance,Mean #UTXO,Current #UTXO,#Deposits,#Inputs Spent,#Withdraws,#Uneconomical outputs spent,#Change Created,#Changeless,Min Change Value,Max Change Value,Mean Change Value,Std. Dev. of Change Value,Total Fees,Mean Fees per Withdraw,Cost to Empty (10 sat/vB),Total Cost,Min Input Size,Max Input Size,Mean Input Size,Std. Dev. of Input Size,Usage
bustabit-tiny-hot-wallet_peak-and-tail,15.03188300,37.18,31,10076,14385,5005,6,4340,bnb: **629** ; knapsack: **36** ; Total: **665**,0.00000317,9.82820414,0.27059466,0.86968120,0.10313387,0.00002061,0.00021080,0.10334467,1,55,2.87,3.50,knapsack: **3233** ; srd: **1143** ; bnb: **629**
bustabit-tiny-hot-wallet_peak-and-tail,15.03153834,37.87,28,10076,14386,5005,6,4338,bnb: **622** ; knapsack: **45** ; Total: **667**,0.00000317,9.65597768,0.28167404,0.89759361,0.10347853,0.00002068,0.00019040,0.10366893,1,54,2.87,3.45,knapsack: **3222** ; srd: **1161** ; bnb: **622**
bustabit-tiny-hot-wallet_peak-and-tail,15.03206976,37.96,23,10076,14364,5005,7,4311,bnb: **652** ; knapsack: **42** ; Total: **694**,0.00000317,9.99639350,0.26488795,0.88619412,0.10294711,0.00002057,0.00015640,0.10310351,1,57,2.87,3.51,knapsack: **3194** ; srd: **1159** ; bnb: **652**
